Time,X,Y
1743.5,224,401
1858.199999999255,244,397
1874.199999999255,244,397
1890,244,397
1907.8999999985099,245,388
1924.8999999985099,246,379
1940.699999999255,246,379
1958,244,375
1974.0999999996275,244,375
1991.2999999988824,244,374
2007.3999999985099,244,374
2024.5999999996275,240,376
2039.699999999255,240,376
2057.39999999851,237,380
2074.0999999996275,237,380
2090.7999999988824,231,383
2107.39999999851,231,383
2124.5999999996275,233,376
2140.7999999988824,233,376
2158.0999999996275,235,369
2174.199999999255,235,369
2191.2999999988824,240,364
2207.2999999988824,240,364
2224.699999999255,235,351
2240.7999999988824,235,351
2258.0999999996275,245,363
2274.7999999988824,245,363
2293.5999999996275,242,359
2308.39999999851,242,359
2324.699999999255,246,364
2341.39999999851,246,364
2358.2999999988824,250,365
2374.199999999255,250,365
2391,253,361
2406.7999999988824,253,361
2424.89999999851,258,358
2441.2999999988824,258,358
2458.5,259,357
2474.5,259,357
2491.89999999851,262,357
2508.0999999996275,262,357
2526.39999999851,265,360
2542,265,360
2558.5,266,363
2574.5999999996275,266,363
2592,268,367
2607.5,268,367
2625.199999999255,270,369
2641.0999999996275,270,369
2657.7999999988824,272,369
2673.89999999851,272,369
2692,275,369
2708,275,369
2725.5,277,371
2740.699999999255,277,371
2758.0999999996275,280,375
2774.5999999996275,280,375
2791,282,377
2807.199999999255,282,377
2825.0999999996275,283,378
2840.39999999851,283,378
2858.2999999988824,285,379
2874.699999999255,285,379
2892.0999999996275,287,382
2907.7999999988824,287,382
2924,291,383
2941.0999999996275,291,383
2958.5999999996275,291,383
2974.0999999996275,291,383
2990.89999999851,294,384
3007.199999999255,294,384
3025.199999999255,295,386
3040.39999999851,295,386
3057.5999999996275,297,388
3074.5999999996275,297,388
3258,310,408
3274.5999999996275,310,408
3325.0999999996275,311,409
3341.0999999996275,311,409
3424.2999999988824,299,399
3440.699999999255,299,399
3459.0999999996275,301,400
3473.699999999255,301,400
3491.699999999255,300,400
3507.699999999255,300,400
3525,300,400
3540.5999999996275,299,400
3557.0999999996275,299,400
3574.7999999988824,299,401
3590.39999999851,299,401
3607.2999999988824,299,401
3625.39999999851,297,401
3641.7999999988824,298,402
3657.0999999996275,298,402
3775.5,309,412
3791.0999999996275,309,412
3808.199999999255,308,413
3824.5,308,413
3841.7999999988824,308,412
3858.0999999996275,308,412
3908.39999999851,308,412
3923.89999999851,308,412
3941,308,412
3958.0999999996275,308,412
4275.0999999996275,306,423
4290.799999998882,306,423
4308.299999998882,304,425
4324.299999998882,304,425
4891.199999999255,228,336
4907.5999999996275,228,336
4924.299999998882,228,332
4940.199999999255,228,332
4958,227,321
4973.39999999851,227,321
4990.5,229,315
5007.5,229,315
5024.5,230,311
5040.5999999996275,230,311
5057.799999998882,232,307
5074,232,307
5090.89999999851,234,302
5107.39999999851,234,302
5123.5999999996275,235,305
5140.799999998882,235,305
5157.199999999255,236,299
5174.299999998882,236,299
5191.299999998882,235,305
5207.799999998882,235,305
5225,236,301
5241.299999998882,236,301
5258.299999998882,235,307
5274.39999999851,235,307
5292.5,236,305
5307.5999999996275,236,305
5325,237,307
5341.5,239,308
5356.799999998882,239,308
5374.299999998882,239,309
5391.0999999996275,239,309
5407.699999999255,239,313
5423.5,239,313
5441.5999999996275,241,313
5457.799999998882,241,313
5474.199999999255,241,315
5491.199999999255,241,315
5508.5,241,317
5524.5999999996275,241,317
5541.799999998882,243,317
5557.89999999851,243,317
5573.699999999255,243,317
5592,243,319
5608.199999999255,243,321
5624.39999999851,243,321
5641.699999999255,244,322
5657.699999999255,244,322
5675,245,323
5691.39999999851,245,323
5708.299999998882,245,325
5724.299999998882,245,325
5741.5,245,325
5757.799999998882,245,325
5775.0999999996275,246,327
5791.0999999996275,246,327
5808.299999998882,247,327
5824.299999998882,247,327
5841.39999999851,247,327
5857.699999999255,247,327
5874.89999999851,248,327
5891.39999999851,248,327
5908.699999999255,249,328
5924.699999999255,249,328
5942,249,329
5958.0999999996275,249,329
5975.0999999996275,249,329
5991.299999998882,249,329
6008.39999999851,250,329
6024.39999999851,250,329
6041.0999999996275,250,329
6058.299999998882,249,331
6074.5999999996275,249,331
6091.5999999996275,250,331
6107.699999999255,251,331
6124,251,331
6140.89999999851,251,331
6157.5,252,332
6173.199999999255,252,332
6191.699999999255,249,335
6209.0999999996275,249,335
6225,250,333
6241.299999998882,250,333
6258.5,250,331
6273.799999998882,250,331
6290.89999999851,251,328
6307.799999998882,251,328
6324.5999999996275,250,326
6340.299999998882,250,326
6358.199999999255,252,317
6374.699999999255,252,317
6392,252,313
6407.0999999996275,252,313
6425.5,252,310
6441.5999999996275,252,310
6458.699999999255,251,313
6473.89999999851,251,313
6491.89999999851,249,307
6507.799999998882,247,305
6524.699999999255,247,305
6541.39999999851,250,297
6558,250,297
6575.0999999996275,251,294
6591.199999999255,251,294
6608.5999999996275,259,281
6624.5999999996275,259,281
6645.0999999996275,259,281
6658.5999999996275,259,279
6675.799999998882,260,276
6691.299999998882,260,276
6707.699999999255,260,276
6725,258,276
6740.199999999255,258,276
6758.199999999255,254,278
6774.299999998882,254,278
6791.5,251,280
6807.799999998882,250,281
6823.199999999255,250,281
6840,250,281
6858.199999999255,252,281
6874.799999998882,251,287
6891.299999998882,251,287
6908.5,254,283
6924.89999999851,254,283
6942.0999999996275,255,283
6958.0999999996275,255,283
6975.199999999255,255,291
6991.199999999255,255,291
7008.5,256,287
7024.5999999996275,256,287
7041.89999999851,257,288
7057.89999999851,257,288
7074.5999999996275,257,288
7091.699999999255,259,289
7108.39999999851,259,297
7126.0999999996275,259,297
7141.5,260,292
7157.799999998882,260,292
7175,260,293
7191.0999999996275,260,293
7208.39999999851,259,295
7224.39999999851,259,295
7241.5999999996275,261,295
7257.89999999851,261,295
7275,261,297
7291.39999999851,261,297
7308.699999999255,260,299
7323.89999999851,260,299
7341,262,299
7357.299999998882,262,299
7375.299999998882,262,301
7391.199999999255,262,301
7408.39999999851,264,309
7424.5999999996275,264,309
7441.799999998882,263,309
7456.89999999851,263,309
7475,263,309
7490.199999999255,263,309
7508.199999999255,262,309
7523.5,262,309
7540.699999999255,264,305
7557.0999999996275,264,305
7575.0999999996275,264,305
7591.199999999255,264,305
7608.199999999255,266,307
7623.5999999996275,266,307
7641.699999999255,266,307
7657.199999999255,266,307
7674.39999999851,266,307
7691.799999998882,263,311
7707,263,311
7725.199999999255,263,311
7741.199999999255,263,311
7758.5999999996275,264,308
7775.299999998882,266,309
7791.5,266,309
7807.5999999996275,263,313
7824,263,313
7841.0999999996275,265,309
7857.5999999996275,265,309
7875,264,310
